"checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","property_magnitude","age","other_payment_plans","class"
"0<=X<200",18,"existing paid","new car","100<=X<500","1<=X<4",2,"car",30,"none",1
"no checking",12,"critical/other existing credit","business","no known savings",">=7",4,"no known property",57,"none",1
">=200",12,"existing paid","furniture/equipment","<100","<1",4,"life insurance",33,"bank",1
"0<=X<200",45,"critical/other existing credit","radio/tv","<100","<1",4,"life insurance",25,"none",2
"no checking",48,"critical/other existing credit","education","<100","1<=X<4",1,"no known property",31,"bank",1
">=200",18,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",37,"stores",2
">=200",10,"existing paid","domestic appliance","<100","1<=X<4",2,"car",37,"none",1
"0<=X<200",9,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",24,"none",1
"no checking",30,"existing paid","radio/tv","500<=X<1000",">=7",4,"car",30,"bank",1
"0<=X<200",12,"existing paid","radio/tv","500<=X<1000","1<=X<4",3,"car",26,"none",1
"0<=X<200",18,"delayed previously","repairs","<100","1<=X<4",2,"real estate",44,"none",1
"<0",30,"critical/other existing credit","used car","100<=X<500","4<=X<7",1,"car",24,"none",1
"<0",48,"critical/other existing credit","used car","<100",">=7",4,"no known property",58,"stores",2
"no checking",11,"critical/other existing credit","new car","<100","<1",4,"car",35,"none",1
"no checking",36,"existing paid","radio/tv","500<=X<1000",">=7",4,"car",39,"none",1
"<0",6,"existing paid","used car","500<=X<1000","unemployed",1,"life insurance",23,"none",1
"no checking",11,"critical/other existing credit","new car","<100","1<=X<4",1,"life insurance",39,"none",1
"no checking",12,"existing paid","radio/tv","100<=X<500","1<=X<4",4,"real estate",28,"none",1
"0<=X<200",24,"delayed previously","furniture/equipment","no known savings","<1",4,"life insurance",29,"bank",1
"0<=X<200",27,"delayed previously","used car","<100",">=7",1,"car",30,"none",1
"no checking",12,"existing paid","radio/tv","<100","1<=X<4",3,"car",25,"none",1
"no checking",18,"existing paid","used car","no known savings","1<=X<4",2,"life insurance",31,"none",1
"0<=X<200",36,"delayed previously","new car","<100",">=7",4,"no known property",57,"bank",2
"no checking",6,"all paid","new car","no known savings","1<=X<4",1,"real estate",26,"stores",1
"0<=X<200",12,"existing paid","radio/tv","no known savings","unemployed",2,"no known property",52,"none",2
"no checking",36,"critical/other existing credit","radio/tv","<100","1<=X<4",2,"car",31,"stores",1
">=200",18,"existing paid","new car","<100",">=7",3,"car",23,"none",1
"<0",36,"critical/other existing credit","furniture/equipment","<100","<1",4,"no known property",23,"none",2
"0<=X<200",9,"existing paid","business","<100","1<=X<4",2,"real estate",27,"bank",1
"0<=X<200",15,"critical/other existing credit","radio/tv","no known savings",">=7",4,"real estate",50,"none",1
"0<=X<200",36,"no credits/all paid","business","<100",">=7",4,"no known property",61,"none",2
"0<=X<200",48,"no credits/all paid","business","<100","1<=X<4",2,"car",25,"none",2
"no checking",24,"existing paid","radio/tv","<100","<1",4,"life insurance",26,"none",1
"no checking",27,"existing paid","repairs","no known savings",">=7",4,"life insurance",48,"none",1
"no checking",12,"existing paid","radio/tv","<100","<1",2,"car",29,"bank",1
"0<=X<200",12,"existing paid","new car",">=1000","1<=X<4",4,"real estate",22,"none",1
"no checking",36,"existing paid","education","<100","1<=X<4",4,"no known property",37,"stores",2
"no checking",36,"existing paid","radio/tv","no known savings","1<=X<4",4,"car",25,"none",1
"no checking",36,"existing paid","used car","<100","1<=X<4",1,"life insurance",30,"bank",1
"no checking",7,"critical/other existing credit","radio/tv","no known savings",">=7",4,"life insurance",46,"none",1
"<0",8,"critical/other existing credit","other","<100",">=7",3,"no known property",51,"bank",1
"0<=X<200",42,"critical/other existing credit","business","<100","4<=X<7",2,"real estate",41,"bank",1
"<0",36,"existing paid","education","no known savings",">=7",4,"no known property",40,"none",2
"<0",12,"critical/other existing credit","used car","<100",">=7",4,"no known property",66,"none",1
"<0",42,"existing paid","radio/tv","<100","<1",4,"car",34,"none",2
"0<=X<200",11,"delayed previously","radio/tv","<100","4<=X<7",2,"life insurance",51,"none",1
"no checking",54,"no credits/all paid","used car","no known savings","1<=X<4",2,"life insurance",39,"none",1
"0<=X<200",30,"existing paid","furniture/equipment","<100","<1",2,"life insurance",22,"none",1
"no checking",24,"existing paid","radio/tv","no known savings","<1",1,"car",44,"none",2
"no checking",15,"existing paid","radio/tv","500<=X<1000",">=7",4,"life insurance",47,"stores",1
"no checking",18,"existing paid","business","100<=X<500","1<=X<4",3,"life insurance",24,"none",1
"<0",24,"existing paid","other","<100",">=7",4,"real estate",58,"none",1
"<0",10,"existing paid","radio/tv","<100",">=7",3,"real estate",52,"none",1
"no checking",12,"critical/other existing credit","business","<100","1<=X<4",4,"real estate",29,"none",1
"0<=X<200",18,"critical/other existing credit","furniture/equipment","<100","<1",4,"life insurance",27,"none",1
"0<=X<200",36,"existing paid","education","100<=X<500","1<=X<4",1,"no known property",47,"none",2
"<0",18,"existing paid","new car","100<=X<500","4<=X<7",4,"car",30,"none",1
"<0",12,"no credits/all paid","repairs","<100","4<=X<7",4,"real estate",28,"none",2
"no checking",12,"critical/other existing credit","radio/tv","<100",">=7",4,"real estate",56,"none",1
"<0",12,"critical/other existing credit","used car","<100",">=7",4,"real estate",54,"none",1
"no checking",12,"critical/other existing credit","radio/tv","no known savings",">=7",4,"life insurance",33,"bank",2
">=200",24,"critical/other existing credit","furniture/equipment","no known savings",">=7",4,"no known property",20,"none",1
"0<=X<200",12,"existing paid","new car",">=1000",">=7",4,"real estate",54,"none",1
"0<=X<200",54,"no credits/all paid","business","<100","<1",3,"no known property",58,"none",2
"no checking",12,"critical/other existing credit","education","no known savings","4<=X<7",4,"car",61,"none",1
"0<=X<200",18,"existing paid","business","100<=X<500","1<=X<4",4,"car",34,"none",1
"0<=X<200",36,"critical/other existing credit","radio/tv","<100",">=7",4,"real estate",36,"none",1
"0<=X<200",20,"delayed previously","used car","no known savings","4<=X<7",3,"life insurance",36,"bank",1
"no checking",24,"existing paid","new car","100<=X<500",">=7",4,"real estate",41,"none",1
"0<=X<200",36,"existing paid","radio/tv","<100","4<=X<7",4,"car",24,"none",1
"no checking",6,"delayed previously","radio/tv","<100","1<=X<4",3,"real estate",24,"none",1
"0<=X<200",9,"critical/other existing credit","furniture/equipment","<100","4<=X<7",4,"car",35,"none",1
"no checking",12,"existing paid","used car","no known savings","<1",2,"car",26,"none",1
"0<=X<200",24,"critical/other existing credit","other","<100","1<=X<4",2,"car",39,"none",2
"no checking",18,"all paid","new car","<100",">=7",2,"no known property",39,"bank",2
"0<=X<200",12,"existing paid","new car","<100","4<=X<7",2,"car",32,"none",1
"<0",24,"existing paid","furniture/equipment","no known savings","<1",1,"life insurance",30,"none",1
"0<=X<200",14,"existing paid","business","500<=X<1000",">=7",1,"real estate",35,"none",1
"0<=X<200",6,"delayed previously","business","100<=X<500",">=7",1,"car",31,"bank",1
">=200",15,"existing paid","education","<100","<1",4,"life insurance",23,"none",1
"0<=X<200",18,"existing paid","new car","<100","4<=X<7",3,"real estate",28,"none",1
"no checking",36,"critical/other existing credit","new car","<100","1<=X<4",4,"real estate",25,"stores",2
"<0",12,"existing paid","radio/tv","500<=X<1000",">=7",3,"real estate",35,"none",1
"no checking",48,"critical/other existing credit","radio/tv","no known savings",">=7",4,"real estate",47,"none",1
"<0",42,"existing paid","radio/tv","no known savings","4<=X<7",4,"car",30,"none",2
"<0",10,"critical/other existing credit","furniture/equipment","no known savings","<1",2,"real estate",27,"none",1
"<0",33,"critical/other existing credit","furniture/equipment","500<=X<1000","1<=X<4",1,"car",23,"none",2
"0<=X<200",12,"critical/other existing credit","new car","500<=X<1000","4<=X<7",3,"car",36,"none",1
"<0",21,"existing paid","radio/tv","<100","1<=X<4",3,"real estate",25,"none",2
"no checking",24,"critical/other existing credit","used car","<100",">=7",4,"car",41,"none",1
"no checking",12,"existing paid","furniture/equipment","<100","1<=X<4",3,"real estate",24,"none",1
">=200",10,"critical/other existing credit","new car","<100",">=7",4,"no known property",63,"none",1
"0<=X<200",18,"existing paid","furniture/equipment","no known savings","<1",4,"real estate",27,"none",2
"<0",12,"critical/other existing credit","new car","<100","1<=X<4",4,"life insurance",30,"none",1
"<0",12,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",40,"none",1
"0<=X<200",12,"existing paid","repairs","<100","1<=X<4",4,"car",30,"none",2
"0<=X<200",12,"critical/other existing credit","used car","<100","unemployed",4,"car",34,"none",1
"<0",12,"critical/other existing credit","new car","<100","1<=X<4",3,"real estate",29,"none",2
"0<=X<200",48,"existing paid","new car","no known savings","4<=X<7",1,"car",24,"none",1
"<0",36,"delayed previously","education","<100","1<=X<4",4,"life insurance",29,"stores",2
"no checking",15,"existing paid","furniture/equipment","<100","<1",2,"life insurance",27,"bank",1
"no checking",18,"existing paid","furniture/equipment","<100","1<=X<4",4,"no known property",47,"bank",1
"no checking",60,"existing paid","radio/tv","100<=X<500","4<=X<7",2,"real estate",21,"none",1
"no checking",12,"critical/other existing credit","radio/tv","no known savings",">=7",4,"real estate",38,"none",1
"no checking",27,"delayed previously","used car",">=1000","1<=X<4",2,"car",27,"none",1
"0<=X<200",12,"existing paid","radio/tv","500<=X<1000","1<=X<4",4,"real estate",66,"none",2
"0<=X<200",15,"critical/other existing credit","radio/tv","no known savings","4<=X<7",4,"real estate",35,"bank",1
">=200",12,"existing paid","radio/tv","<100","1<=X<4",2,"car",44,"none",1
">=200",6,"existing paid","new car",">=1000","<1",2,"real estate",27,"none",1
"0<=X<200",36,"existing paid","radio/tv","<100","<1",4,"no known property",30,"none",1
"<0",27,"existing paid","radio/tv","<100","1<=X<4",3,"car",27,"none",1
"<0",18,"existing paid","furniture/equipment","<100","1<=X<4",2,"car",22,"none",2
"no checking",21,"critical/other existing credit","furniture/equipment","<100","<1",4,"life insurance",23,"none",1
"0<=X<200",48,"all paid","business","100<=X<500","4<=X<7",4,"car",30,"none",1
"<0",6,"critical/other existing credit","new car","<100",">=7",1,"no known property",39,"none",1
"no checking",12,"critical/other existing credit","new car","100<=X<500","4<=X<7",4,"car",51,"none",1
"<0",36,"critical/other existing credit","furniture/equipment","<100","1<=X<4",3,"life insurance",28,"none",1
"no checking",18,"critical/other existing credit","radio/tv",">=1000",">=7",4,"car",46,"none",1
"no checking",6,"existing paid","radio/tv","100<=X<500",">=7",2,"no known property",42,"bank",1
"no checking",10,"existing paid","radio/tv","<100","1<=X<4",1,"life insurance",38,"none",1
">=200",36,"existing paid","radio/tv","<100","1<=X<4",4,"car",24,"none",1
"0<=X<200",24,"critical/other existing credit","used car",">=1000",">=7",2,"no known property",29,"none",1
"0<=X<200",24,"delayed previously","business","100<=X<500","4<=X<7",4,"car",36,"none",1
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4",2,"car",20,"none",2
"<0",9,"critical/other existing credit","repairs","100<=X<500",">=7",3,"real estate",48,"none",1
"<0",12,"all paid","retraining","<100",">=7",4,"car",45,"bank",1
"0<=X<200",24,"existing paid","new car","100<=X<500","4<=X<7",2,"car",38,"bank",1
"no checking",6,"critical/other existing credit","radio/tv","no known savings","1<=X<4",1,"real estate",34,"none",1
"no checking",24,"critical/other existing credit","radio/tv","100<=X<500",">=7",3,"real estate",36,"none",1
"no checking",18,"critical/other existing credit","new car","<100","<1",4,"life insurance",30,"none",1
"no checking",15,"existing paid","domestic appliance","500<=X<1000","4<=X<7",4,"life insurance",36,"none",1
"0<=X<200",10,"existing paid","new car","<100","unemployed",2,"no known property",70,"bank",1
"no checking",36,"existing paid","new car","500<=X<1000",">=7",4,"life insurance",36,"none",1
"no checking",6,"existing paid","furniture/equipment","500<=X<1000","1<=X<4",1,"car",32,"none",1
"<0",18,"existing paid","furniture/equipment","<100","unemployed",4,"car",33,"none",2
"0<=X<200",11,"existing paid","furniture/equipment",">=1000","<1",4,"real estate",20,"none",1
"no checking",24,"existing paid","furniture/equipment","<100","4<=X<7",2,"life insurance",25,"none",1
"0<=X<200",24,"critical/other existing credit","business","<100",">=7",4,"real estate",31,"none",2
"<0",15,"no credits/all paid","new car","<100",">=7",4,"car",33,"none",2
"no checking",12,"existing paid","furniture/equipment","<100","1<=X<4",4,"real estate",26,"none",1
"0<=X<200",24,"delayed previously","furniture/equipment","<100","unemployed",3,"life insurance",34,"none",2
"0<=X<200",8,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",33,"none",1
"<0",21,"delayed previously","education","<100","<1",2,"life insurance",26,"none",2
"no checking",30,"all paid","used car","no known savings","unemployed",4,"real estate",53,"bank",2
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4",2,"car",42,"none",1
"<0",6,"critical/other existing credit","radio/tv","500<=X<1000",">=7",4,"car",52,"none",1
"no checking",12,"existing paid","radio/tv","<100","4<=X<7",4,"car",31,"none",1
"<0",21,"critical/other existing credit","new car","<100",">=7",4,"real estate",65,"none",1
"no checking",36,"delayed previously","business","<100","<1",1,"car",28,"none",2
"0<=X<200",36,"delayed previously","business","<100","1<=X<4",2,"real estate",30,"stores",2
"<0",21,"all paid","new car","no known savings","1<=X<4",4,"life insurance",40,"none",2
"no checking",24,"critical/other existing credit","furniture/equipment",">=1000","1<=X<4",4,"real estate",50,"none",1
"0<=X<200",18,"critical/other existing credit","new car","<100",">=7",4,"car",36,"bank",2
"no checking",15,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"life insurance",31,"none",1
"0<=X<200",9,"all paid","used car","<100",">=7",2,"no known property",74,"bank",2
"0<=X<200",16,"critical/other existing credit","new car","<100","unemployed",2,"car",68,"none",1
"<0",12,"existing paid","radio/tv","100<=X<500","4<=X<7",4,"life insurance",20,"none",2
"0<=X<200",18,"no credits/all paid","furniture/equipment","<100","1<=X<4",1,"car",33,"bank",1
"no checking",24,"existing paid","business",">=1000","1<=X<4",2,"life insurance",54,"none",2
"0<=X<200",48,"no credits/all paid","business","100<=X<500","4<=X<7",4,"no known property",34,"none",2
"0<=X<200",27,"existing paid","business","<100","1<=X<4",4,"car",36,"none",2
"no checking",6,"existing paid","radio/tv","<100","4<=X<7",2,"real estate",29,"none",1
"0<=X<200",45,"existing paid","radio/tv","100<=X<500","1<=X<4",4,"life insurance",21,"none",2
"0<=X<200",9,"critical/other existing credit","education","<100",">=7",2,"car",34,"none",2
"no checking",6,"critical/other existing credit","radio/tv","<100","1<=X<4",1,"car",28,"none",1
"0<=X<200",12,"existing paid","furniture/equipment","100<=X<500","<1",4,"car",27,"bank",2
"0<=X<200",24,"existing paid","used car","no known savings",">=7",4,"no known property",36,"bank",1
"0<=X<200",18,"delayed previously","furniture/equipment","<100",">=7",4,"no known property",40,"none",2
"no checking",9,"critical/other existing credit","education","500<=X<1000",">=7",4,"car",52,"none",1
"<0",12,"existing paid","new car","<100","1<=X<4",4,"real estate",27,"none",1
"no checking",27,"delayed previously","business","<100","4<=X<7",3,"car",26,"none",1
"<0",12,"existing paid","retraining","<100","4<=X<7",4,"life insurance",21,"none",2
"no checking",12,"critical/other existing credit","new car","<100",">=7",4,"real estate",38,"none",1
"<0",30,"critical/other existing credit","used car","<100",">=7",3,"no known property",38,"none",1
"no checking",12,"critical/other existing credit","furniture/equipment","<100",">=7",4,"real estate",43,"none",1
"0<=X<200",12,"critical/other existing credit","domestic appliance","<100","4<=X<7",4,"life insurance",26,"none",1
"<0",24,"existing paid","business","<100","1<=X<4",2,"car",21,"stores",1
"no checking",12,"existing paid","used car",">=1000","4<=X<7",3,"life insurance",55,"none",1
"no checking",9,"critical/other existing credit","radio/tv","no known savings","1<=X<4",1,"real estate",33,"none",1
"no checking",36,"existing paid","radio/tv","no known savings",">=7",2,"real estate",45,"none",1
"<0",27,"no credits/all paid","business","<100","unemployed",2,"life insurance",50,"stores",2
">=200",30,"delayed previously","business","<100",">=7",4,"real estate",66,"none",2
"no checking",36,"critical/other existing credit","radio/tv","no known savings",">=7",4,"car",51,"none",1
"0<=X<200",6,"critical/other existing credit","retraining","no known savings","4<=X<7",1,"life insurance",39,"none",1
"<0",18,"no credits/all paid","business","<100","4<=X<7",3,"life insurance",31,"bank",1
">=200",36,"existing paid","radio/tv","<100","1<=X<4",2,"real estate",23,"none",1
"<0",24,"existing paid","furniture/equipment","<100","1<=X<4",2,"real estate",24,"none",1
"no checking",10,"existing paid","new car","<100","1<=X<4",2,"car",64,"none",1
"0<=X<200",12,"existing paid","radio/tv","<100","<1",4,"real estate",26,"bank",1
"<0",12,"existing paid","education","no known savings","1<=X<4",4,"life insurance",23,"bank",1
"no checking",12,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",30,"bank",1
"no checking",24,"delayed previously","business","no known savings","1<=X<4",4,"real estate",32,"none",1
"no checking",15,"existing paid","used car","<100","1<=X<4",3,"car",30,"none",1
"no checking",36,"no credits/all paid","repairs","<100","1<=X<4",4,"car",27,"none",1
"0<=X<200",48,"existing paid","radio/tv",">=1000","4<=X<7",1,"no known property",27,"bank",2
"<0",12,"existing paid","furniture/equipment","<100",">=7",4,"no known property",53,"none",2
"no checking",9,"existing paid","radio/tv","<100","4<=X<7",4,"car",22,"none",2
"<0",24,"existing paid","furniture/equipment","<100","<1",4,"no known property",22,"bank",1
">=200",36,"existing paid","radio/tv","<100","1<=X<4",4,"car",26,"none",2
"no checking",9,"existing paid","new car","500<=X<1000",">=7",2,"no known property",51,"none",1
"no checking",12,"existing paid","radio/tv","100<=X<500","4<=X<7",3,"no known property",35,"none",1
"0<=X<200",18,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",25,"none",1
"no checking",4,"critical/other existing credit","radio/tv","<100","4<=X<7",2,"real estate",42,"none",1
"<0",24,"existing paid","radio/tv","<100","unemployed",4,"car",30,"stores",2
"0<=X<200",6,"existing paid","new car","no known savings","unemployed",1,"life insurance",23,"none",2
"0<=X<200",21,"existing paid","business","100<=X<500",">=7",4,"car",61,"bank",2
"no checking",12,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"life insurance",35,"none",1
"<0",30,"existing paid","radio/tv","<100",">=7",1,"life insurance",39,"none",1
"<0",24,"existing paid","new car","no known savings",">=7",4,"car",29,"bank",2
"no checking",6,"existing paid","radio/tv","<100","4<=X<7",3,"life insurance",51,"none",1
"<0",48,"no credits/all paid","used car","<100",">=7",3,"no known property",24,"none",2
"no checking",12,"critical/other existing credit","business","<100","1<=X<4",3,"real estate",27,"none",1
"no checking",12,"all paid","retraining","500<=X<1000","1<=X<4",4,"real estate",35,"none",1
"no checking",24,"existing paid","business","<100","4<=X<7",4,"real estate",25,"none",1
"no checking",12,"critical/other existing credit","radio/tv","<100",">=7",4,"real estate",52,"none",1
"no checking",6,"no credits/all paid","new car","100<=X<500","1<=X<4",4,"no known property",35,"bank",1
">=200",24,"existing paid","furniture/equipment","<100","1<=X<4",2,"real estate",26,"none",1
"no checking",18,"existing paid","radio/tv","<100","unemployed",3,"real estate",22,"none",2
"<0",6,"critical/other existing credit","new car",">=1000","4<=X<7",3,"real estate",39,"none",1
">=200",12,"existing paid","furniture/equipment","<100","1<=X<4",1,"car",46,"none",1
"0<=X<200",30,"existing paid","new car","<100","1<=X<4",4,"no known property",24,"bank",2
"no checking",24,"delayed previously","furniture/equipment","100<=X<500","1<=X<4",2,"life insurance",35,"none",1
"0<=X<200",9,"existing paid","furniture/equipment","no known savings","4<=X<7",2,"car",24,"none",1
"0<=X<200",60,"delayed previously","radio/tv","no known savings","1<=X<4",1,"real estate",27,"none",1
"no checking",24,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"real estate",35,"none",1
"<0",12,"all paid","radio/tv","<100","1<=X<4",4,"no known property",29,"none",2
"no checking",15,"existing paid","used car","100<=X<500","<1",1,"car",23,"none",1
"no checking",11,"critical/other existing credit","radio/tv","100<=X<500","unemployed",4,"real estate",57,"none",1
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4",2,"real estate",27,"none",1
"<0",24,"existing paid","radio/tv","<100",">=7",4,"car",55,"none",1
"<0",18,"critical/other existing credit","new car","<100",">=7",2,"no known property",36,"none",1
"no checking",12,"critical/other existing credit","education","<100",">=7",2,"no known property",57,"bank",1
"no checking",10,"critical/other existing credit","new car","<100",">=7",3,"real estate",32,"none",1
"0<=X<200",15,"existing paid","radio/tv","<100",">=7",4,"car",37,"none",2
"no checking",36,"critical/other existing credit","business","no known savings",">=7",4,"real estate",36,"none",1
"no checking",24,"existing paid","radio/tv","<100","<1",4,"car",38,"stores",1
"<0",14,"existing paid","new car","<100",">=7",1,"life insurance",45,"none",2
"no checking",24,"existing paid","radio/tv","no known savings",">=7",4,"car",25,"none",1
"no checking",18,"existing paid","new car","no known savings","4<=X<7",4,"life insurance",32,"none",1
"no checking",12,"critical/other existing credit","furniture/equipment","500<=X<1000","4<=X<7",3,"car",37,"none",1
"0<=X<200",48,"all paid","new car","no known savings","unemployed",4,"no known property",36,"none",1
"0<=X<200",48,"existing paid","radio/tv","<100","4<=X<7",4,"real estate",28,"none",2
"<0",30,"existing paid","repairs","<100","<1",1,"no known property",34,"none",2
"no checking",9,"existing paid","radio/tv","<100","1<=X<4",1,"real estate",32,"none",1
"no checking",18,"critical/other existing credit","radio/tv","<100","1<=X<4",2,"car",26,"none",1
"<0",12,"existing paid","furniture/equipment","no known savings",">=7",2,"life insurance",49,"none",1
"no checking",6,"existing paid","furniture/equipment","<100","<1",1,"life insurance",32,"none",2
"no checking",24,"existing paid","radio/tv","100<=X<500","1<=X<4",4,"car",29,"none",1
"no checking",15,"critical/other existing credit","used car",">=1000",">=7",3,"no known property",23,"none",1
"no checking",12,"existing paid","furniture/equipment","<100","1<=X<4",4,"real estate",50,"none",1
">=200",18,"all paid","radio/tv","no known savings","4<=X<7",4,"car",49,"bank",1
"no checking",15,"critical/other existing credit","furniture/equipment","no known savings",">=7",4,"life insurance",63,"none",1
"0<=X<200",24,"critical/other existing credit","new car","100<=X<500","<1",4,"car",37,"none",1
"<0",47,"existing paid","new car","<100","<1",1,"real estate",35,"none",1
"<0",48,"existing paid","used car","<100","4<=X<7",4,"life insurance",26,"none",1
"0<=X<200",48,"delayed previously","other","100<=X<500","unemployed",2,"no known property",31,"none",1
"0<=X<200",12,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",49,"none",1
"<0",24,"delayed previously","radio/tv","<100","<1",4,"real estate",48,"stores",2
"no checking",12,"existing paid","business","<100","1<=X<4",2,"real estate",26,"none",1
"0<=X<200",36,"existing paid","used car","<100","<1",1,"car",28,"none",2
"<0",24,"critical/other existing credit","used car","<100",">=7",2,"no known property",44,"none",1
">=200",42,"critical/other existing credit","used car","<100",">=7",4,"no known property",56,"none",1
"no checking",48,"critical/other existing credit","business","no known savings",">=7",4,"car",46,"bank",1
"0<=X<200",48,"existing paid","furniture/equipment","<100","<1",1,"car",26,"none",2
"no checking",12,"existing paid","used car","no known savings","<1",1,"car",20,"none",1
"no checking",10,"existing paid","new car","no known savings",">=7",4,"life insurance",45,"none",1
"no checking",18,"existing paid","furniture/equipment","<100","1<=X<4",3,"real estate",43,"none",1
"0<=X<200",21,"critical/other existing credit","furniture/equipment",">=1000","4<=X<7",3,"car",32,"none",1
"no checking",6,"existing paid","new car","<100","unemployed",1,"real estate",54,"none",1
"0<=X<200",36,"no credits/all paid","radio/tv","<100","1<=X<4",4,"car",42,"none",2
">=200",24,"critical/other existing credit","new car","no known savings","4<=X<7",4,"real estate",37,"bank",2
"<0",10,"critical/other existing credit","new car","<100","4<=X<7",4,"life insurance",49,"none",1
"no checking",48,"critical/other existing credit","new car","500<=X<1000","1<=X<4",2,"no known property",44,"bank",2
"no checking",6,"existing paid","furniture/equipment",">=1000","1<=X<4",4,"real estate",33,"none",1
"no checking",30,"existing paid","used car","no known savings","4<=X<7",2,"life insurance",24,"stores",1
"<0",12,"existing paid","radio/tv","100<=X<500","<1",4,"no known property",33,"none",2
"0<=X<200",8,"existing paid","furniture/equipment","<100","1<=X<4",3,"real estate",24,"none",2
"0<=X<200",9,"existing paid","new car","<100","1<=X<4",4,"real estate",22,"none",1
"0<=X<200",48,"existing paid","other","no known savings","unemployed",3,"no known property",40,"bank",1
"no checking",24,"existing paid","furniture/equipment","100<=X<500","1<=X<4",4,"car",25,"stores",1
">=200",24,"existing paid","furniture/equipment","<100","<1",2,"car",26,"none",1
"0<=X<200",12,"existing paid","new car","<100","4<=X<7",2,"car",25,"bank",2
">=200",4,"existing paid","new car","no known savings","<1",1,"real estate",29,"none",1
"<0",36,"all paid","furniture/equipment","<100",">=7",4,"car",31,"bank",2
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4",2,"life insurance",38,"none",1
"0<=X<200",24,"existing paid","furniture/equipment","no known savings","1<=X<4",1,"life insurance",48,"none",1
"no checking",12,"critical/other existing credit","education","<100","1<=X<4",4,"car",32,"none",1
"<0",15,"delayed previously","furniture/equipment","<100",">=7",1,"life insurance",27,"none",1
"0<=X<200",30,"critical/other existing credit","new car","<100","unemployed",4,"car",28,"none",2
"<0",24,"existing paid","radio/tv","<100","<1",4,"life insurance",32,"none",2
