"bkblk","bknwy","bkon8","bkona","bkspr","bkxbq","bkxcr","bkxwp","blxwp","bxqsq","cntxt","dwipd","katri","mulch","qxmsq","r2ar8","reskr","rimmx","rkxwp","rxmsq","simpl","skewr","skrxp","stlmt","thrsk","wkcti","wkna8","wknck","wkovl","wkpos","wtoeg","class"
"f","f","f","f","f","f","f","f","t","f","t","l","n","f","f","t","t","f","t","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","t","f","f","f","t","f","t","l","n","f","f","t","f","f","t","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","t","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","w","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","t","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","w","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","f","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","t","t","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","w","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","w","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","t","f","f","f","t","t","n",1
"t","f","f","f","t","f","t","f","f","f","t","l","n","f","f","t","t","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","t","f","f","f","t","t","f","f","f","f","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","b","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","f","t","f","f","f","t","l","b","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","f","t","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","b","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","f","n",1
"t","f","f","f","f","f","f","f","f","f","t","l","b","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","t","f","f","f","f","t","n",1
"f","f","f","f","t","f","t","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","t","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","t","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","t","t","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","t","f","t","f","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","t","f","f","f","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","t","f","t","f","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","t","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","t","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","w","f","f","f","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","f","t","f","t","l","w","f","f","f","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","f","n",1
"f","f","f","f","f","f","t","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","f","t","f","f","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","n",1
"f","f","f","f","f","f","f","f","t","f","t","l","w","f","f","f","f","f","t","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","f","f","f","f","f","t","l","w","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","f","t","t","t","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","t","t","f","f","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","t","t","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","t","t","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","w","f","f","t","t","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","t","t","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","w","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","f","t","t","t","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","f","t","t","t","f","f","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","f","t","t","t","f","t","l","n","f","f","f","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","f","t","t","t","f","t","l","w","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","t","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","t","t","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","t","t","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","t","t","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","t","t","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","t","f","t","n",1
"f","f","f","f","f","t","f","f","t","f","f","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","t","f","f","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","t","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","t","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","t","f","t","t","t","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","t","f","t","n",1
"f","f","f","f","f","t","f","f","t","f","f","l","n","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","t","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","t","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","t","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","f","t","f","f","t","f","t","l","n","f","f","t","t","f","t","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","t","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","t","f","t","l","n","f","f","t","f","f","t","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","n","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","f","f","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","t","f","f","f","f","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","n","f","f","t","t","f","t","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","t","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","t","f","f","f","f","t","f","f","f","t","f","f","f","t","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","w","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","t","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","w","f","f","t","f","f","t","f","t","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","f","f","n",1
"f","f","f","f","f","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","t","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","n",1
"f","f","f","f","f","t","t","f","t","f","t","l","w","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","f","n",1
"t","f","f","f","t","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","t","t","f","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","t","t","t","f","t","f","t","l","n","f","f","t","f","f","t","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","t","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","f","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","n","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","f","n",1
"t","f","f","f","t","t","f","f","f","f","t","l","b","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","b","f","f","t","f","f","f","f","f","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","b","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","b","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","f","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","t","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","b","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","t","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","t","t","f","f","f","f","f","f","t","t","n",1
"t","f","f","f","f","t","t","f","f","f","t","l","w","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","t","f","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","t","f","t","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","t","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","t","t","t","f","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","t","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
"f","f","f","f","f","t","t","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","n",1
"f","f","f","f","t","t","t","f","f","f","f","l","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","n",1
