"bkxbq","bkxwp","bxqsq","hdchk","katri","mulch","r2ar8","rimmx","wkna8","wknck","class"
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","w","f","t","f","f","f",1
"f","t","f","f","w","f","t","f","f","f",1
"f","t","f","f","w","f","t","f","f","f",1
"f","t","f","f","w","f","t","f","f","f",1
"f","t","f","f","w","f","t","f","f","f",1
"f","t","f","f","n","f","f","f","f","f",1
"f","t","f","f","n","f","f","f","f","f",1
"f","t","f","f","n","f","f","f","f","f",1
"f","t","f","f","n","f","f","f","f","f",1
"f","t","f","f","w","f","f","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","w","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","w","f","t","f","f","f",1
"t","t","f","f","w","f","t","f","f","f",1
"t","t","f","f","w","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","f","f","f","f",1
"t","t","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","n","f","f","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
"f","f","f","f","b","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","b","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","t",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","f","f","f","f",1
"f","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","w","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","f","f","f","t",1
"f","t","f","f","n","f","t","f","f","f",1
"f","t","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","t","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","t",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","f",1
"t","f","f","f","n","f","f","f","f","t",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","t","f","f","f",1
"t","t","f","f","n","f","f","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
"f","f","f","f","n","f","t","f","f","f",1
