"A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A13","A14","A15","class"
19.75,0.75,"u","g","c","v",0.795,"t","t",5,"g",140,5,2
29.17,3.5,"u","g","w","v",3.5,"t","t",3,"g",329,0,2
24.5,1.04,"y","p","ff","ff",0.5,"t","t",3,"g",180,147,2
24.58,12.5,"u","g","w","v",0.875,"t","f",0,"g",260,0,2
33.75,0.75,"u","g","k","bb",1,"t","t",3,"g",212,0,2
20.67,1.25,"y","p","c","h",1.375,"t","t",3,"g",140,210,2
25.42,1.125,"u","g","q","v",1.29,"t","t",2,"g",200,0,2
37.75,7,"u","g","q","h",11.5,"t","t",7,"g",300,5,2
52.5,6.5,"u","g","k","v",6.29,"t","t",15,"g",0,11202,1
57.83,7.04,"u","g","m","v",14,"t","t",6,"g",360,1332,1
20.75,10.335,"u","g","cc","h",0.335,"t","t",1,"g",80,50,1
39.92,6.21,"u","g","q","v",0.04,"t","t",1,"g",200,300,1
25.67,12.5,"u","g","cc","v",1.21,"t","t",67,"g",140,258,1
24.75,12.5,"u","g","aa","v",1.5,"t","t",12,"g",120,567,1
44.17,6.665,"u","g","q","v",7.375,"t","t",3,"g",0,0,1
23.5,9,"u","g","q","v",8.5,"t","t",5,"g",120,0,1
34.92,5,"u","g","x","h",7.5,"t","t",6,"g",0,1000,1
47.67,2.5,"u","g","m","bb",2.5,"t","t",12,"g",410,2510,1
22.75,11,"u","g","q","v",2.5,"t","t",7,"g",100,809,1
34.42,4.25,"u","g","i","bb",3.25,"t","t",2,"g",274,610,1
28.42,3.5,"u","g","w","v",0.835,"t","f",0,"s",280,0,1
67.75,5.5,"u","g","e","z",13,"t","t",1,"g",0,0,1
20.42,1.835,"u","g","c","v",2.25,"t","t",1,"g",100,150,1
47.42,8,"u","g","e","bb",6.5,"t","t",6,"g",375,51100,1
36.25,5,"u","g","c","bb",2.5,"t","t",6,"g",0,367,1
32.67,5.5,"u","g","q","h",5.5,"t","t",12,"g",408,1000,1
48.58,6.5,"u","g","q","h",6,"t","f",0,"g",350,0,1
39.92,0.54,"y","p","aa","v",0.5,"t","t",3,"g",200,1000,1
33.58,2.75,"u","g","m","v",4.25,"t","t",6,"g",204,0,1
18.83,9.5,"u","g","w","v",1.625,"t","t",6,"g",40,600,1
26.92,13.5,"u","g","q","h",5,"t","t",2,"g",0,5000,1
31.25,3.75,"u","g","cc","h",0.625,"t","t",9,"g",181,0,1
56.5,16,"u","g","j","ff",0,"t","t",15,"g",0,247,1
43,0.29,"y","p","cc","h",1.75,"t","t",8,"g",100,375,1
22.33,11,"u","g","w","v",2,"t","t",1,"g",80,278,1
27.25,1.665,"u","g","cc","h",5.085,"t","t",9,"g",399,827,1
32.83,2.5,"u","g","cc","h",2.75,"t","t",6,"g",160,2072,1
23.25,1.5,"u","g","q","v",2.375,"t","t",3,"g",0,582,1
40.33,7.54,"y","p","q","h",8,"t","t",14,"g",0,2300,1
30.5,6.5,"u","g","c","bb",4,"t","t",7,"g",0,3065,1
52.83,15,"u","g","c","v",5.5,"t","t",14,"g",0,2200,1
46.67,0.46,"u","g","cc","h",0.415,"t","t",11,"g",440,6,1
58.33,10,"u","g","q","v",4,"t","t",14,"g",0,1602,1
37.33,6.5,"u","g","m","h",4.25,"t","t",12,"g",93,0,1
23.08,2.5,"u","g","c","v",1.085,"t","t",11,"g",60,2184,1
32.75,1.5,"u","g","cc","h",5.5,"t","t",3,"g",0,0,1
21.67,11.5,"y","p","j","j",0,"t","t",11,"g",0,0,1
28.5,3.04,"y","p","x","h",2.54,"t","t",1,"g",70,0,1
68.67,15,"u","g","e","z",0,"t","t",14,"g",0,3376,1
28,2,"u","g","k","h",4.165,"t","t",2,"g",181,0,1
34.08,0.08,"y","p","m","bb",0.04,"t","t",1,"g",280,2000,1
27.67,2,"u","g","x","h",1,"t","t",4,"g",140,7544,1
44,2,"u","g","m","v",1.75,"t","t",2,"g",0,15,1
25.08,1.71,"u","g","x","v",1.665,"t","t",1,"g",395,20,1
32,1.75,"y","p","e","h",0.04,"t","f",0,"g",393,0,1
60.58,16.5,"u","g","q","v",11,"t","f",0,"g",21,10561,1
40.83,10,"u","g","q","h",1.75,"t","f",0,"g",29,837,1
19.33,9.5,"u","g","q","v",1,"t","f",0,"g",60,400,1
32.33,0.54,"u","g","cc","v",0.04,"t","f",0,"g",440,11177,1
36.67,3.25,"u","g","q","h",9,"t","f",0,"g",102,639,1
37.5,1.125,"y","p","d","v",1.5,"f","f",0,"g",431,0,1
25.08,2.54,"y","p","aa","v",0.25,"t","f",0,"g",370,0,1
41.33,0,"u","g","c","bb",15,"t","f",0,"g",0,0,1
56,12.5,"u","g","k","h",8,"t","f",0,"g",24,2028,1
49.83,13.585,"u","g","k","h",8.5,"t","f",0,"g",0,0,1
22.67,10.5,"u","g","q","h",1.335,"t","f",0,"g",100,0,1
27,1.5,"y","p","w","v",0.375,"t","f",0,"g",260,1065,1
25,12.5,"u","g","aa","v",3,"t","f",0,"s",20,0,1
26.08,8.665,"u","g","aa","v",1.415,"t","f",0,"g",160,150,1
18.42,9.25,"u","g","q","v",1.21,"t","t",4,"g",60,540,1
20.17,8.17,"u","g","aa","v",1.96,"t","t",14,"g",60,158,1
47.67,0.29,"u","g","c","bb",15,"t","t",20,"g",0,15000,1
21.25,2.335,"u","g","i","bb",0.5,"t","t",4,"s",80,0,1
20.67,3,"u","g","q","v",0.165,"t","t",3,"g",100,6,1
57.08,19.5,"u","g","c","v",5.5,"t","t",7,"g",0,3000,1
22.42,5.665,"u","g","q","v",2.585,"t","t",7,"g",129,3257,1
48.75,8.5,"u","g","c","h",12.5,"t","t",9,"g",181,1655,1
40,6.5,"u","g","aa","bb",3.5,"t","t",1,"g",0,500,1
40.58,5,"u","g","c","v",5,"t","t",7,"g",0,3065,1
28.67,1.04,"u","g","c","v",2.5,"t","t",5,"g",300,1430,1
33.08,4.625,"u","g","q","h",1.625,"t","t",2,"g",0,0,1
21.33,10.5,"u","g","c","v",3,"t","f",0,"g",0,0,1
42,0.205,"u","g","i","h",5.125,"t","f",0,"g",400,0,1
41.75,0.96,"u","g","x","v",2.5,"t","f",0,"g",510,600,1
22.67,1.585,"y","p","w","v",3.085,"t","t",6,"g",80,0,1
34.5,4.04,"y","p","i","bb",8.5,"t","t",7,"g",195,0,1
28.25,5.04,"y","p","c","bb",1.5,"t","t",8,"g",144,7,1
33.17,3.165,"y","p","x","v",3.165,"t","t",3,"g",380,0,1
48.17,7.625,"u","g","w","h",15.5,"t","t",12,"g",0,790,1
27.58,2.04,"y","p","aa","v",2,"t","t",3,"g",370,560,1
22.58,10.04,"u","g","x","v",0.04,"t","t",9,"g",60,396,1
24.08,0.5,"u","g","q","h",1.25,"t","t",1,"g",0,678,1
41.33,1,"u","g","i","bb",2.25,"t","f",0,"g",0,300,1
24.83,2.75,"u","g","c","v",2.25,"t","t",6,"g",66,600,1
20.75,10.25,"u","g","q","v",0.71,"t","t",2,"g",49,0,1
36.33,2.125,"y","p","w","v",0.085,"t","t",1,"g",50,1187,1
35.42,12,"u","g","q","h",14,"t","t",8,"g",0,6590,1
71.58,0,"y","p","ff","ff",0,"f","f",0,"p",120,0,1
28.67,9.335,"u","g","q","h",5.665,"t","t",6,"g",381,168,1
35.17,2.5,"u","g","k","v",4.5,"t","t",7,"g",150,1270,1
39.5,4.25,"u","g","c","bb",6.5,"t","t",16,"g",117,1210,1
39.33,5.875,"u","g","cc","h",10,"t","t",14,"g",399,0,1
24.33,6.625,"y","p","d","v",5.5,"t","f",0,"s",100,0,1
60.08,14.5,"u","g","ff","ff",18,"t","t",15,"g",0,1000,1
23.08,11.5,"u","g","i","v",3.5,"t","t",9,"g",56,742,1
26.67,2.71,"y","p","cc","v",5.25,"t","t",1,"g",211,0,1
48.17,3.5,"u","g","aa","v",3.5,"t","f",0,"s",230,0,1
41.17,4.04,"u","g","cc","h",7,"t","t",8,"g",320,0,1
55.92,11.5,"u","g","ff","ff",5,"t","t",5,"g",0,8851,1
53.92,9.625,"u","g","e","v",8.665,"t","t",5,"g",0,0,1
18.92,9.25,"y","p","c","v",1,"t","t",4,"g",80,500,1
50.08,12.54,"u","g","aa","v",2.29,"t","t",3,"g",156,0,1
65.42,11,"u","g","e","z",20,"t","t",7,"g",22,0,1
17.58,9,"u","g","aa","v",1.375,"t","f",0,"g",0,0,1
18.83,9.54,"u","g","aa","v",0.085,"t","f",0,"g",100,0,1
37.75,5.5,"u","g","q","v",0.125,"t","f",0,"g",228,0,1
23.25,4,"u","g","c","bb",0.25,"t","f",0,"g",160,0,1
18.08,5.5,"u","g","k","v",0.5,"t","f",0,"g",80,0,1
22.5,8.46,"y","p","x","v",2.46,"f","f",0,"g",164,0,1
19.67,0.375,"u","g","q","v",2,"t","t",2,"g",80,0,1
22.08,11,"u","g","cc","v",0.665,"t","f",0,"g",100,0,1
25.17,3.5,"u","g","cc","v",0.625,"t","t",7,"g",0,7059,1
47.42,3,"u","g","x","v",13.875,"t","t",2,"g",519,1704,1
33.5,1.75,"u","g","x","h",4.5,"t","t",4,"g",253,857,1
27.67,13.75,"u","g","w","v",5.75,"t","f",0,"g",487,500,1
58.42,21,"u","g","i","bb",10,"t","t",13,"g",0,6700,1
20.67,1.835,"u","g","q","v",2.085,"t","t",5,"g",220,2503,1
26.17,0.25,"u","g","i","bb",0,"t","f",0,"g",0,0,1
21.33,7.5,"u","g","aa","v",1.415,"t","t",1,"g",80,9800,1
42.83,4.625,"u","g","q","v",4.58,"t","f",0,"s",0,0,1
38.17,10.125,"u","g","x","v",2.5,"t","t",6,"g",520,196,1
20.5,10,"y","p","c","v",2.5,"t","f",0,"s",40,0,1
48.25,25.085,"u","g","w","v",1.75,"t","t",3,"g",120,14,1
28.33,5,"u","g","w","v",11,"t","f",0,"g",70,0,1
18.75,7.5,"u","g","q","v",2.71,"t","t",5,"g",84,26726,1
18.5,2,"u","g","i","v",1.5,"t","t",2,"g",120,300,1
33.17,3.04,"y","p","c","h",2.04,"t","t",1,"g",180,18027,1
45,8.5,"u","g","cc","h",14,"t","t",1,"g",88,2000,1
19.67,0.21,"u","g","q","h",0.29,"t","t",11,"g",80,99,1
24.5,12.75,"u","g","c","bb",4.75,"t","t",2,"g",73,444,1
21.83,11,"u","g","x","v",0.29,"t","t",6,"g",121,0,1
40.25,21.5,"u","g","e","z",20,"t","t",11,"g",0,1200,1
41.42,5,"u","g","q","h",5,"t","t",6,"g",470,0,1
17.83,11,"u","g","x","h",1,"t","t",11,"g",0,3000,1
23.17,11.125,"u","g","x","h",0.46,"t","t",1,"g",100,0,1
22.165,0.625,"u","g","k","v",0.25,"f","f",0,"g",380,2010,2
18.17,10.25,"u","g","c","h",1.085,"f","f",0,"g",320,13,2
20,11.045,"u","g","c","v",2,"f","f",0,"g",136,0,2
20,0,"u","g","d","v",0.5,"f","f",0,"g",144,0,2
20.75,9.54,"u","g","i","v",0.04,"f","f",0,"g",200,1000,2
24.5,1.75,"y","p","c","v",0.165,"f","f",0,"g",132,0,2
32.75,2.335,"u","g","d","h",5.75,"f","f",0,"g",292,0,2
52.17,0,"y","p","ff","ff",0,"f","f",0,"g",0,0,2
48.17,1.335,"u","g","i","o",0.335,"f","f",0,"g",0,120,2
20.42,10.5,"y","p","x","h",0,"f","f",0,"g",154,32,2
50.75,0.585,"u","g","ff","ff",0,"f","f",0,"g",145,0,2
17.08,0.085,"y","p","c","v",0.04,"f","f",0,"g",140,722,2
18.33,1.21,"y","p","e","dd",0,"f","f",0,"g",100,0,2
32,6,"u","g","d","v",1.25,"f","f",0,"g",272,0,2
59.67,1.54,"u","g","q","v",0.125,"t","f",0,"g",260,0,1
18,0.165,"u","g","q","n",0.21,"f","f",0,"g",200,40,1
37.58,0,"u","g","c","v",0,"f","f",0,"p",168,0,1
32.33,2.5,"u","g","c","v",1.25,"f","f",0,"g",280,0,2
18.08,6.75,"y","p","m","v",0.04,"f","f",0,"g",140,0,2
38.25,10.125,"y","p","k","v",0.125,"f","f",0,"g",160,0,2
30.67,2.5,"u","g","cc","h",2.25,"f","f",0,"s",340,0,2
18.58,5.71,"u","g","d","v",0.54,"f","f",0,"g",120,0,2
19.17,5.415,"u","g","i","h",0.29,"f","f",0,"g",80,484,2
18.17,10,"y","p","q","h",0.165,"f","f",0,"g",340,0,2
24.58,13.5,"y","p","ff","ff",0,"f","f",0,"g",120,0,2
16.25,0.835,"u","g","m","v",0.085,"t","f",0,"s",200,0,2
21.17,0.875,"y","p","c","h",0.25,"f","f",0,"g",280,204,2
23.92,0.585,"y","p","cc","h",0.125,"f","f",0,"g",240,1,2
17.67,4.46,"u","g","c","v",0.25,"f","f",0,"s",80,0,2
16.5,1.25,"u","g","q","v",0.25,"f","t",1,"g",108,98,2
23.25,12.625,"u","g","c","v",0.125,"f","t",2,"g",0,5552,2
17.58,10,"u","g","w","h",0.165,"f","t",1,"g",120,1,2
31.585,1.5,"u","g","ff","ff",0,"f","t",2,"g",200,105,2
29.5,0.58,"u","g","w","v",0.29,"f","t",1,"g",340,2803,2
18.83,0.415,"y","p","c","v",0.165,"f","t",1,"g",200,1,2
21.75,1.75,"y","p","j","j",0,"f","f",0,"g",160,0,2
23,0.75,"u","g","m","v",0.5,"f","f",0,"s",320,0,2
18.25,10,"u","g","w","v",1,"f","t",1,"g",120,1,2
25.42,0.54,"u","g","w","v",0.165,"f","t",1,"g",272,444,2
35.75,2.415,"u","g","w","v",0.125,"f","t",2,"g",220,1,2
16.08,0.335,"u","g","ff","ff",0,"f","t",1,"g",160,126,2
31.92,3.125,"u","g","ff","ff",3.04,"f","t",2,"g",200,4,2
69.17,9,"u","g","ff","ff",4,"f","t",1,"g",70,6,2
32.92,2.5,"u","g","aa","v",1.75,"f","t",2,"g",720,0,2
16.33,2.75,"u","g","aa","v",0.665,"f","t",1,"g",80,21,2
22.17,12.125,"u","g","c","v",3.335,"f","t",2,"g",180,173,2
57.58,2,"u","g","ff","ff",6.5,"f","t",1,"g",0,10,2
18.25,0.165,"u","g","d","v",0.25,"f","f",0,"s",280,0,2
23.42,1,"u","g","c","v",0.5,"f","f",0,"s",280,0,2
15.92,2.875,"u","g","q","v",0.085,"f","f",0,"g",120,0,2
24.75,13.665,"u","g","q","h",1.5,"f","f",0,"g",280,1,2
48.75,26.335,"y","p","ff","ff",0,"t","f",0,"g",0,0,2
23.5,2.75,"u","g","ff","ff",4.5,"f","f",0,"g",160,25,2
18.58,10.29,"u","g","ff","ff",0.415,"f","f",0,"g",80,0,2
27.75,1.29,"u","g","k","h",0.25,"f","f",0,"s",140,0,2
31.75,3,"y","p","j","j",0,"f","f",0,"g",160,20,2
24.83,4.5,"u","g","w","v",1,"f","f",0,"g",360,6,2
19,1.75,"y","p","c","v",2.335,"f","f",0,"g",112,6,2
16.33,0.21,"u","g","aa","v",0.125,"f","f",0,"g",200,1,2
18.58,10,"u","g","d","v",0.415,"f","f",0,"g",80,42,2
16.25,0,"y","p","aa","v",0.25,"f","f",0,"g",60,0,2
23,0.75,"u","g","m","v",0.5,"t","f",0,"s",320,0,2
21.17,0.25,"y","p","c","h",0.25,"f","f",0,"g",280,204,2
17.5,22,"l","gg","ff","o",0,"f","f",0,"p",450,1e+05,1
19.17,0,"y","p","m","bb",0,"f","f",0,"s",500,1,1
36.75,0.125,"y","p","c","v",1.5,"f","f",0,"g",232,113,1
21.25,1.5,"u","g","w","v",1.5,"f","f",0,"g",150,8,1
18.08,0.375,"l","gg","cc","ff",10,"f","f",0,"s",300,0,1
33.67,0.375,"u","g","cc","v",0.375,"f","f",0,"g",300,44,1
48.58,0.205,"y","p","k","v",0.25,"t","t",11,"g",380,2732,1
33.67,1.25,"u","g","w","v",1.165,"f","f",0,"g",120,0,2
29.5,1.085,"y","p","x","v",1,"f","f",0,"g",280,13,2
30.17,1.085,"y","p","c","v",0.04,"f","f",0,"g",170,179,2
40.83,3.5,"u","g","i","bb",0.5,"f","f",0,"s",1160,0,2
34.83,2.5,"y","p","w","v",3,"f","f",0,"s",200,0,2
32.625,4,"y","p","i","v",0.085,"f","f",0,"g",411,0,2
20.42,0,"u","g","k","v",0,"f","f",0,"p",170,0,2
33.25,2.5,"y","p","c","v",2.5,"f","f",0,"g",0,2,2
34.08,2.5,"u","g","c","v",1,"f","f",0,"g",460,16,2
25.25,12.5,"u","g","d","v",1,"f","f",0,"g",180,1062,2
34.75,2.5,"u","g","cc","bb",0.5,"f","f",0,"g",348,0,2
27.67,0.75,"u","g","q","h",0.165,"f","f",0,"g",220,251,2
47.33,6.5,"u","g","c","v",1,"f","f",0,"g",0,228,2
34.83,1.25,"y","p","i","h",0.5,"f","f",0,"g",160,0,2
33.25,3,"y","p","aa","v",2,"f","f",0,"g",180,0,2
28,3,"u","g","w","v",0.75,"f","f",0,"g",300,67,2
39.08,4,"u","g","c","v",3,"f","f",0,"g",480,0,2
42.75,4.085,"u","g","aa","v",0.04,"f","f",0,"g",108,100,2
26.92,2.25,"u","g","i","bb",0.5,"f","f",0,"g",640,4000,2
33.75,2.75,"u","g","i","bb",0,"f","f",0,"g",180,0,2
38.92,1.75,"u","g","k","v",0.5,"f","f",0,"g",300,2,2
62.75,7,"u","g","e","z",0,"f","f",0,"g",0,12,2
32.25,1.5,"u","g","c","v",0.25,"f","f",0,"g",372,122,2
26.75,4.5,"y","p","c","bb",2.5,"f","f",0,"g",200,1210,2
63.33,0.54,"u","g","c","v",0.585,"t","t",3,"g",180,0,2
27.83,1.5,"u","g","w","v",2.25,"f","t",1,"g",100,3,2
26.17,2,"u","g","j","j",0,"f","f",0,"g",276,1,2
22.17,0.585,"y","p","ff","ff",0,"f","f",0,"g",100,0,2
22.5,11.5,"y","p","m","v",1.5,"f","f",0,"g",0,4000,2
30.75,1.585,"u","g","d","v",0.585,"f","f",0,"s",0,0,2
36.67,2,"u","g","i","v",0.25,"f","f",0,"g",221,0,2
16,0.165,"u","g","aa","v",1,"f","t",2,"g",320,1,2
41.17,1.335,"u","g","d","v",0.165,"f","f",0,"g",168,0,2
19.5,0.165,"u","g","q","v",0.04,"f","f",0,"g",380,0,2
32.42,3,"u","g","d","v",0.165,"f","f",0,"g",120,0,2
36.75,4.71,"u","g","ff","ff",0,"f","f",0,"g",160,0,2
30.25,5.5,"u","g","k","v",5.5,"f","f",0,"s",100,0,2
23.08,2.5,"u","g","ff","ff",0.085,"f","f",0,"g",100,4208,2
26.83,0.54,"u","g","k","ff",0,"f","f",0,"g",100,0,2
16.92,0.335,"y","p","k","v",0.29,"f","f",0,"s",200,0,2
24.42,2,"u","g","e","dd",0.165,"f","t",2,"g",320,1300,2
42.83,1.25,"u","g","m","v",13.875,"f","t",1,"g",352,112,2
22.75,6.165,"u","g","aa","v",0.165,"f","f",0,"g",220,1000,2
39.42,1.71,"y","p","m","v",0.165,"f","f",0,"s",400,0,2
23.58,11.5,"y","p","k","h",3,"f","f",0,"g",20,16,2
21.42,0.75,"y","p","r","n",0.75,"f","f",0,"g",132,2,2
33,2.5,"y","p","w","v",7,"f","f",0,"g",280,0,2
26.33,13,"u","g","e","dd",0,"f","f",0,"g",140,1110,2
45,4.585,"u","g","k","h",1,"f","f",0,"s",240,0,2
26.25,1.54,"u","g","w","v",0.125,"f","f",0,"g",100,0,2
28.17,0.585,"u","g","aa","v",0.04,"f","f",0,"g",260,1004,2
20.83,0.5,"y","p","e","dd",1,"f","f",0,"g",260,0,2
28.67,14.5,"u","g","d","v",0.125,"f","f",0,"g",0,286,2
20.67,0.835,"y","p","c","v",2,"f","f",0,"s",240,0,2
34.42,1.335,"u","g","i","bb",0.125,"f","f",0,"g",440,4500,2
33.58,0.25,"u","g","i","bb",4,"f","f",0,"s",420,0,2
43.17,5,"u","g","i","bb",2.25,"f","f",0,"g",141,0,2
22.67,7,"u","g","c","v",0.165,"f","f",0,"g",160,0,2
