"checking_status","duration","credit_history","savings_status","employment","personal_status","other_payment_plans","job","foreign_worker","class","ID"
"no checking",18,"critical/other existing credit","no known savings","1<=X<4","male mar/wid","none","skilled","no",1,25
"<0",6,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,26
"0<=X<200",13.5,"no credits/all paid","<100",">=7","male mar/wid","none","unskilled resident","yes",1,27
">=200",12,"all paid",">=1000","1<=X<4","female div/dep/mar","none","skilled","yes",1,28
"0<=X<200",7,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,29
"<0",60,"delayed previously","<100",">=7","male single","none","skilled","yes",2,30
"0<=X<200",12,"existing paid",">=1000","<1","male mar/wid","none","skilled","yes",1,31
"<0",24,"existing paid","<100","1<=X<4","male single","stores","skilled","yes",1,32
"0<=X<200",18,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","yes",1,33
"no checking",12,"critical/other existing credit","no known savings",">=7","male single","none","unskilled resident","yes",1,34
">=200",12,"existing paid","<100","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,35
"0<=X<200",45,"critical/other existing credit","<100","<1","male single","none","unskilled resident","yes",2,36
"no checking",48,"critical/other existing credit","<100","1<=X<4","male single","bank","skilled","yes",1,37
">=200",18,"existing paid","<100","1<=X<4","male single","stores","skilled","yes",2,38
">=200",10,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,39
"no checking",9,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,40
"no checking",30,"existing paid","500<=X<1000",">=7","male single","none","high qualif/self emp/mgmt","yes",1,41
"0<=X<200",12,"existing paid","500<=X<1000","1<=X<4","male div/sep","none","skilled","yes",1,42
"0<=X<200",18,"delayed previously","<100","1<=X<4","male single","none","unskilled resident","yes",1,43
"<0",30,"critical/other existing credit","100<=X<500","4<=X<7","male mar/wid","none","skilled","yes",1,44
"<0",48,"critical/other existing credit","<100",">=7","female div/dep/mar","stores","unskilled resident","yes",2,45
"no checking",11,"critical/other existing credit","<100","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,46
"no checking",36,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,47
"<0",6,"existing paid","500<=X<1000","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",1,48
"no checking",11,"critical/other existing credit","<100","1<=X<4","male single","none","unskilled resident","yes",1,49
"no checking",12,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",1,50
"0<=X<200",24,"delayed previously","no known savings","<1","male single","bank","unskilled resident","yes",1,51
"0<=X<200",27,"delayed previously","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,52
"no checking",12,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,53
"no checking",18,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,54
"0<=X<200",36,"delayed previously","<100",">=7","male single","bank","skilled","yes",2,55
"no checking",6,"all paid","no known savings","1<=X<4","male single","none","unskilled resident","yes",1,56
"0<=X<200",12,"existing paid","no known savings","unemployed","male single","none","high qualif/self emp/mgmt","yes",2,57
"no checking",36,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,58
">=200",18,"existing paid","<100",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,59
"<0",36,"critical/other existing credit","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,60
"0<=X<200",9,"existing paid","<100","1<=X<4","male mar/wid","bank","skilled","yes",1,61
"0<=X<200",15,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,62
"0<=X<200",36,"no credits/all paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",2,63
"0<=X<200",48,"no credits/all paid","<100","1<=X<4","male single","none","skilled","yes",2,64
"no checking",24,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,65
"no checking",22.5,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,66
"no checking",12,"existing paid","<100","<1","female div/dep/mar","bank","skilled","yes",1,67
"0<=X<200",12,"existing paid",">=1000","1<=X<4","male mar/wid","none","skilled","yes",1,68
"no checking",36,"existing paid","<100","1<=X<4","male single","stores","skilled","yes",2,69
"no checking",36,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",1,70
"no checking",36,"existing paid","<100","1<=X<4","female div/dep/mar","bank","skilled","yes",1,71
"no checking",7,"critical/other existing credit","no known savings",">=7","male single","none","unskilled resident","yes",1,72
"<0",8,"critical/other existing credit","<100",">=7","male single","bank","high qualif/self emp/mgmt","yes",1,73
"0<=X<200",42,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","bank","unskilled resident","yes",1,74
"<0",36,"existing paid","no known savings",">=7","male single","none","high qualif/self emp/mgmt","yes",2,75
"<0",12,"critical/other existing credit","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,76
"<0",42,"existing paid","<100","<1","male single","none","skilled","yes",2,77
"0<=X<200",11,"delayed previously","<100","4<=X<7","male single","none","skilled","yes",1,78
"no checking",54,"no credits/all paid","no known savings","1<=X<4","male single","none","unskilled resident","yes",1,79
"0<=X<200",30,"existing paid","<100","<1","male mar/wid","none","skilled","yes",1,80
"no checking",22.5,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","yes",2,81
"no checking",15,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,82
"no checking",18,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,83
"<0",24,"existing paid","<100",">=7","female div/dep/mar","none","unskilled resident","yes",1,84
"<0",10,"existing paid","<100",">=7","male single","none","unskilled resident","yes",1,85
"no checking",12,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,86
"0<=X<200",18,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",1,87
"0<=X<200",27,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","yes",2,88
"<0",18,"existing paid","100<=X<500","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,89
"<0",12,"no credits/all paid","<100","4<=X<7","male single","none","skilled","yes",2,90
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,91
"<0",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,92
"0<=X<200",12,"critical/other existing credit","no known savings",">=7","female div/dep/mar","bank","unskilled resident","yes",2,93
">=200",24,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,94
"0<=X<200",12,"existing paid",">=1000",">=7","male single","none","skilled","yes",1,95
"0<=X<200",54,"no credits/all paid","<100","<1","male single","none","skilled","yes",2,96
"no checking",12,"critical/other existing credit","no known savings","4<=X<7","female div/dep/mar","none","skilled","yes",1,97
"0<=X<200",18,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","yes",1,98
"0<=X<200",12.5,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,99
"0<=X<200",20,"delayed previously","no known savings","4<=X<7","male single","bank","high qualif/self emp/mgmt","yes",1,100
"no checking",24,"existing paid","100<=X<500",">=7","male mar/wid","none","unskilled resident","yes",1,101
"0<=X<200",36,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,102
"no checking",6,"delayed previously","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,103
"0<=X<200",9,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,104
"no checking",21,"existing paid","no known savings","<1","male mar/wid","none","skilled","yes",1,105
"0<=X<200",24,"critical/other existing credit","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",2,106
"no checking",16.5,"all paid","<100",">=7","male single","bank","high qualif/self emp/mgmt","yes",2,107
"0<=X<200",12,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,108
"<0",24,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","no",1,109
"0<=X<200",14,"existing paid","500<=X<1000",">=7","male mar/wid","none","skilled","yes",1,110
"0<=X<200",6,"delayed previously","100<=X<500",">=7","male div/sep","none","skilled","yes",1,111
">=200",15,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,112
"0<=X<200",18,"existing paid","<100","4<=X<7","male single","none","unskilled resident","yes",1,113
"no checking",36,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","stores","skilled","yes",2,114
"<0",12,"existing paid","500<=X<1000",">=7","male mar/wid","none","skilled","yes",1,115
"no checking",48,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,116
"<0",42,"existing paid","no known savings","4<=X<7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,117
"<0",16.5,"critical/other existing credit","no known savings","<1","female div/dep/mar","none","skilled","no",1,118
"<0",33,"critical/other existing credit","500<=X<1000","1<=X<4","female div/dep/mar","none","skilled","yes",2,119
"0<=X<200",22.5,"critical/other existing credit","500<=X<1000","4<=X<7","male div/sep","none","high qualif/self emp/mgmt","yes",1,120
"<0",21,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,121
"no checking",22.5,"critical/other existing credit","<100",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,122
"no checking",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,123
">=200",10,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,124
"0<=X<200",18,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","yes",2,125
"<0",12,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,126
"<0",12,"existing paid","<100","1<=X<4","male mar/wid","none","unskilled resident","yes",1,127
"0<=X<200",12,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,128
"0<=X<200",12,"critical/other existing credit","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,129
"<0",12,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,130
"0<=X<200",48,"existing paid","no known savings","4<=X<7","female div/dep/mar","none","skilled","yes",1,131
"<0",36,"delayed previously","<100","1<=X<4","male single","stores","skilled","yes",2,132
"no checking",15,"existing paid","<100","<1","male single","bank","unskilled resident","yes",1,133
"no checking",18,"existing paid","<100","1<=X<4","male single","bank","skilled","yes",1,134
"no checking",60,"existing paid","100<=X<500","4<=X<7","female div/dep/mar","none","skilled","yes",1,135
"no checking",12,"critical/other existing credit","no known savings",">=7","female div/dep/mar","none","skilled","yes",1,136
"no checking",27,"delayed previously",">=1000","1<=X<4","male single","none","skilled","yes",1,137
"0<=X<200",12,"existing paid","500<=X<1000","1<=X<4","male single","none","unskilled resident","yes",2,138
"0<=X<200",15,"critical/other existing credit","no known savings","4<=X<7","male single","bank","skilled","yes",1,139
">=200",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,140
">=200",6,"existing paid",">=1000","<1","male mar/wid","none","unemp/unskilled non res","no",1,141
"0<=X<200",36,"existing paid","<100","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,142
"<0",27,"existing paid","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,143
"<0",18,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,144
"no checking",24,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",1,145
"0<=X<200",48,"all paid","100<=X<500","4<=X<7","male single","none","skilled","yes",1,146
"<0",6,"critical/other existing credit","<100",">=7","female div/dep/mar","none","skilled","yes",1,147
"no checking",12,"critical/other existing credit","100<=X<500","4<=X<7","female div/dep/mar","none","skilled","yes",1,148
"<0",36,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,149
"no checking",18,"critical/other existing credit",">=1000",">=7","male single","none","skilled","yes",1,150
"no checking",6,"existing paid","100<=X<500",">=7","male single","bank","skilled","yes",1,151
"no checking",10,"existing paid","<100","1<=X<4","male single","none","skilled","no",1,152
">=200",24,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,153
"0<=X<200",24,"critical/other existing credit",">=1000",">=7","female div/dep/mar","none","skilled","yes",1,154
"0<=X<200",24,"delayed previously","100<=X<500","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,155
"<0",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,156
"<0",9,"critical/other existing credit","100<=X<500",">=7","male single","none","skilled","no",1,157
"<0",12,"all paid","<100",">=7","male mar/wid","bank","unskilled resident","yes",1,158
"0<=X<200",24,"existing paid","100<=X<500","4<=X<7","male single","bank","skilled","yes",1,159
"no checking",6,"critical/other existing credit","no known savings","1<=X<4","male single","none","unskilled resident","yes",1,160
"no checking",24,"critical/other existing credit","100<=X<500",">=7","male single","none","skilled","yes",1,161
"no checking",18,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",1,162
"no checking",15,"existing paid","500<=X<1000","4<=X<7","male single","none","skilled","yes",1,163
"0<=X<200",30,"existing paid","<100","unemployed","male single","bank","high qualif/self emp/mgmt","yes",1,164
"no checking",36,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,165
"no checking",15,"existing paid","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,166
"<0",18,"existing paid","<100","unemployed","female div/dep/mar","none","skilled","yes",2,167
"0<=X<200",11,"existing paid",">=1000","<1","female div/dep/mar","none","skilled","yes",1,168
"no checking",24,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,169
"0<=X<200",24,"critical/other existing credit","<100",">=7","male div/sep","none","skilled","yes",2,170
"<0",15,"no credits/all paid","<100",">=7","male single","none","skilled","yes",2,171
"no checking",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,172
"0<=X<200",24,"delayed previously","<100","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,173
"0<=X<200",8,"existing paid","<100","1<=X<4","male single","none","skilled","no",1,174
"0<=X<200",21,"delayed previously","<100","<1","male single","none","skilled","yes",2,175
"no checking",30,"all paid","no known savings","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,176
"<0",18,"existing paid","<100","1<=X<4","male div/sep","none","skilled","yes",1,177
"<0",6,"critical/other existing credit","500<=X<1000",">=7","male single","none","skilled","yes",1,178
"no checking",12,"existing paid","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,179
"<0",21,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,180
"no checking",36,"delayed previously","<100","<1","male div/sep","none","skilled","yes",2,181
"0<=X<200",36,"delayed previously","<100","1<=X<4","male div/sep","stores","high qualif/self emp/mgmt","yes",2,182
"<0",21,"all paid","no known savings","1<=X<4","male single","none","unskilled resident","yes",2,183
"no checking",24,"critical/other existing credit",">=1000","1<=X<4","male single","none","skilled","yes",1,184
"0<=X<200",18,"critical/other existing credit","<100",">=7","male single","bank","skilled","yes",2,185
"no checking",15,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,186
"0<=X<200",9,"all paid","<100",">=7","female div/dep/mar","bank","high qualif/self emp/mgmt","yes",2,187
"0<=X<200",16,"critical/other existing credit","<100","unemployed","male single","none","unemp/unskilled non res","yes",1,188
"<0",12,"existing paid","100<=X<500","4<=X<7","male mar/wid","none","skilled","yes",2,189
"0<=X<200",18,"no credits/all paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,190
"no checking",24,"existing paid",">=1000","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",2,191
"0<=X<200",48,"no credits/all paid","100<=X<500","4<=X<7","male single","none","unskilled resident","yes",2,192
"0<=X<200",27,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,193
"no checking",6,"existing paid","<100","4<=X<7","male mar/wid","none","skilled","yes",1,194
"0<=X<200",45,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","yes",2,195
"0<=X<200",9,"critical/other existing credit","<100",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,196
"no checking",21,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,197
"0<=X<200",12,"existing paid","100<=X<500","<1","female div/dep/mar","bank","skilled","yes",2,198
"0<=X<200",24,"existing paid","no known savings",">=7","male single","bank","skilled","yes",1,199
"0<=X<200",27,"delayed previously","<100",">=7","male div/sep","none","high qualif/self emp/mgmt","yes",2,200
"no checking",9,"critical/other existing credit","500<=X<1000",">=7","male single","none","skilled","yes",1,201
"<0",12,"existing paid","<100","1<=X<4","male mar/wid","none","unskilled resident","yes",1,202
"no checking",27,"delayed previously","<100","4<=X<7","male single","none","skilled","yes",1,203
"<0",12,"existing paid","<100","4<=X<7","male mar/wid","none","skilled","yes",2,204
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",1,205
"<0",15,"critical/other existing credit","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,206
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,207
"0<=X<200",12,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,208
"<0",24,"existing paid","<100","1<=X<4","male mar/wid","stores","unskilled resident","yes",1,209
"no checking",12,"existing paid",">=1000","4<=X<7","male single","none","skilled","no",1,210
"no checking",12,"critical/other existing credit","no known savings","1<=X<4","male single","none","skilled","yes",1,211
"no checking",36,"existing paid","no known savings",">=7","female div/dep/mar","none","unskilled resident","yes",1,212
"<0",27,"no credits/all paid","<100","unemployed","male single","stores","skilled","yes",2,213
">=200",30,"delayed previously","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",2,214
"no checking",36,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,215
"0<=X<200",6,"critical/other existing credit","no known savings","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,216
"<0",18,"no credits/all paid","<100","4<=X<7","male single","bank","skilled","yes",1,217
"no checking",36,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,218
"<0",24,"existing paid","<100","1<=X<4","male div/sep","none","unskilled resident","yes",1,219
"no checking",10,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,220
"0<=X<200",12,"existing paid","<100","<1","male mar/wid","bank","unskilled resident","yes",1,221
"<0",12,"existing paid","no known savings","1<=X<4","female div/dep/mar","bank","skilled","yes",1,222
"no checking",12,"existing paid","<100","1<=X<4","male single","bank","skilled","yes",1,223
"no checking",24,"delayed previously","no known savings","1<=X<4","male single","none","skilled","yes",1,224
"no checking",15,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,225
"no checking",36,"no credits/all paid","<100","1<=X<4","male single","none","skilled","yes",1,226
"0<=X<200",24,"existing paid",">=1000","4<=X<7","male single","bank","skilled","yes",2,227
"<0",12,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",2,228
"no checking",24,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,229
"<0",24,"existing paid","<100","<1","male single","bank","skilled","yes",1,230
">=200",36,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,231
"no checking",9,"existing paid","500<=X<1000",">=7","male single","none","unskilled resident","yes",1,232
"no checking",12,"existing paid","100<=X<500","4<=X<7","male single","none","skilled","yes",1,233
"0<=X<200",18,"existing paid","<100","1<=X<4","male mar/wid","none","unskilled resident","yes",1,234
"no checking",4,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","yes",1,235
"<0",24,"existing paid","<100","unemployed","male single","stores","high qualif/self emp/mgmt","yes",2,236
"0<=X<200",6,"existing paid","no known savings","unemployed","male single","none","unemp/unskilled non res","yes",2,237
"0<=X<200",21,"existing paid","100<=X<500",">=7","male div/sep","bank","unskilled resident","yes",2,238
"no checking",12,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,239
"<0",12,"existing paid","<100",">=7","male single","none","skilled","yes",1,240
"<0",24,"existing paid","no known savings",">=7","female div/dep/mar","bank","skilled","yes",2,241
"no checking",6,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,242
"<0",48,"no credits/all paid","<100",">=7","male single","none","skilled","yes",2,243
"no checking",12,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,244
"no checking",12,"all paid","500<=X<1000","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,245
"no checking",24,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,246
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,247
"no checking",6,"no credits/all paid","100<=X<500","1<=X<4","male single","bank","skilled","no",1,248
">=200",12,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,249
"no checking",18,"existing paid","<100","unemployed","female div/dep/mar","none","skilled","yes",2,250
"<0",6,"critical/other existing credit",">=1000","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,251
">=200",15,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,252
"0<=X<200",30,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,253
"no checking",24,"delayed previously","100<=X<500","1<=X<4","male single","none","skilled","yes",1,254
"0<=X<200",9,"existing paid","no known savings","4<=X<7","male single","none","skilled","yes",1,255
"0<=X<200",60,"delayed previously","no known savings","1<=X<4","male single","none","unskilled resident","yes",1,256
"no checking",24,"critical/other existing credit","<100","1<=X<4","male single","none","unskilled resident","yes",1,257
"<0",12,"all paid","<100","1<=X<4","male div/sep","none","skilled","yes",2,258
"no checking",15,"existing paid","100<=X<500","<1","female div/dep/mar","none","skilled","yes",1,259
"no checking",11,"critical/other existing credit","100<=X<500","unemployed","female div/dep/mar","none","unskilled resident","yes",1,260
"<0",12,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,261
"<0",24,"existing paid","<100",">=7","female div/dep/mar","none","skilled","yes",1,262
"<0",18,"critical/other existing credit","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,263
"no checking",12,"critical/other existing credit","<100",">=7","female div/dep/mar","bank","unskilled resident","yes",1,264
"no checking",10,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","no",1,265
"0<=X<200",15,"existing paid","<100",">=7","male single","none","skilled","yes",2,266
"no checking",36,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,267
"no checking",21,"existing paid","<100","<1","female div/dep/mar","stores","skilled","yes",1,268
"<0",14,"existing paid","<100",">=7","male div/sep","none","high qualif/self emp/mgmt","no",2,269
"no checking",24,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,270
"no checking",18,"existing paid","no known savings","4<=X<7","male single","none","skilled","no",1,271
"no checking",19.5,"critical/other existing credit","500<=X<1000","4<=X<7","female div/dep/mar","none","skilled","yes",1,272
"0<=X<200",48,"all paid","no known savings","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,273
"0<=X<200",48,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,274
"<0",30,"existing paid","<100","<1","male div/sep","none","unskilled resident","yes",2,275
"no checking",9,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,276
"no checking",18,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,277
"<0",12,"existing paid","no known savings",">=7","male div/sep","none","unskilled resident","yes",1,278
"no checking",6,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,279
"no checking",24,"existing paid","100<=X<500","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,280
"no checking",24,"critical/other existing credit",">=1000",">=7","male single","none","skilled","yes",1,281
"no checking",12,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,282
">=200",15,"all paid","no known savings","4<=X<7","male single","none","unskilled resident","yes",1,283
"no checking",24,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,284
"0<=X<200",24,"critical/other existing credit","100<=X<500","<1","male div/sep","none","skilled","yes",1,285
"<0",16.5,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",1,286
"<0",48,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,287
"0<=X<200",48,"delayed previously","100<=X<500","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,288
"0<=X<200",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,289
"<0",24,"delayed previously","<100","<1","male mar/wid","stores","skilled","yes",2,290
"no checking",13.5,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","no",1,291
"0<=X<200",36,"existing paid","<100","<1","male mar/wid","none","high qualif/self emp/mgmt","yes",2,292
"<0",24,"critical/other existing credit","<100",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,293
">=200",42,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,294
"no checking",48,"critical/other existing credit","no known savings",">=7","male div/sep","bank","high qualif/self emp/mgmt","yes",1,295
"0<=X<200",48,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,296
"no checking",12,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","yes",1,297
"no checking",10,"existing paid","no known savings",">=7","male single","none","unskilled resident","no",1,298
"no checking",18,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,299
"0<=X<200",21,"critical/other existing credit",">=1000","4<=X<7","male single","none","skilled","yes",1,300
"no checking",6,"existing paid","<100","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",1,301
"0<=X<200",36,"no credits/all paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,302
">=200",24,"critical/other existing credit","no known savings","4<=X<7","male single","bank","unskilled resident","yes",2,303
"<0",10,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,304
"no checking",48,"critical/other existing credit","500<=X<1000","1<=X<4","male single","bank","skilled","yes",2,305
"no checking",6,"existing paid",">=1000","1<=X<4","male div/sep","none","skilled","yes",1,306
